"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Rugged Highlands","","B","32330","6.39","4890","9.18","15384","57.4%","2866","59.1%","3540","56.6%","6406","57.7%","8709","57.3%","0.4pp"
"Scoured Barrens","","B","30661","5.50","5052","7.98","18068","57.2%","3303","59.4%","4379","57.7%","7682","58.4%","10226","56.3%","2.1pp"
"Swiftwater Cliffs","","B","32447","6.23","6541","8.64","23435","58.7%","4227","60.1%","5670","57.6%","9897","58.7%","13334","58.7%","-0.0pp"
"Thornwood Falls","","B","31818","5.90","6755","8.10","28715","57.9%","5196","59.2%","6922","57.5%","12118","58.3%","16117","57.5%","0.7pp"
"Tranquil Cove","","B","31694","5.83","6253","8.11","25153","59.3%","4545","61.6%","5737","57.6%","10282","59.3%","14704","59.1%","0.2pp"
"Wind-Scarred Crag","","B","32303","6.22","4700","8.99","14069","57.3%","2436","59.9%","3228","56.7%","5664","58.1%","8277","56.7%","1.4pp"
"Anafenza, Kin-Tree Spirit","W","R","2095","2.32","608","2.68","3364","60.5%","571","60.8%","699","57.2%","1270","58.8%","2080","61.4%","-2.6pp"
"Daxos, Blessed by the Sun","W","U","17391","4.98","1769","7.48","6093","58.7%","991","59.7%","1350","55.9%","2341","57.5%","3711","59.5%","-2.0pp"
"Elesh Norn, Grand Cenobite","W","M","533","1.23","421","1.20","2518","61.4%","434","66.8%","633","70.0%","1067","68.7%","1449","55.8%","12.9pp"
"Kenrith, the Returned King","W","M","592","1.33","386","1.35","2263","59.0%","378","60.8%","536","63.4%","914","62.4%","1350","56.7%","5.7pp"
"Kwende, Pride of Femeref","W","U","20000","6.12","2058","9.40","4206","60.5%","633","56.1%","912","56.9%","1545","56.6%","2667","62.6%","-6.0pp"
"Sram, Senior Edificer","W","R","4137","4.43","631","6.38","1982","59.9%","358","62.0%","412","55.8%","770","58.7%","1208","60.8%","-2.1pp"
"Thalia, Guardian of Thraben","W","R","2717","2.94","405","4.03","1720","59.2%","270","56.7%","390","58.2%","660","57.6%","1049","60.2%","-2.7pp"
"Baral, Chief of Compliance","U","R","3871","4.03","1043","5.27","5249","60.9%","955","62.6%","1297","61.3%","2252","61.9%","2990","60.1%","1.8pp"
