"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Invasion of Kamigawa","U","U","21838","5.22","2309","7.99","5712","54.4%","893","45.6%","1536","54.0%","2429","50.9%","3245","57.2%","-6.3pp"
"Invasion of Segovia","U","R","2908","2.14","1752","2.20","10376","60.8%","1829","62.6%","2678","64.2%","4507","63.6%","5790","58.7%","4.9pp"
"Invasion of Vryn","U","U","22285","5.05","4313","7.14","15737","59.2%","2557","56.7%","4037","60.3%","6594","58.9%","9036","59.4%","-0.5pp"
"Jin-Gitaxias","U","M","1050","1.64","614","1.62","3543","61.4%","607","62.3%","947","64.0%","1554","63.3%","1986","59.8%","3.6pp"
"Meeting of Minds","U","C","46167","5.23","12310","6.73","63597","60.9%","10626","60.1%","16849","61.6%","27475","61.0%","36414","60.9%","0.1pp"
"Moment of Truth","U","C","57440","8.07","8467","11.40","10506","59.1%","1794","57.4%","2803","60.6%","4597","59.4%","5943","58.9%","0.4pp"
"Negate","U","C","57842","8.69","7317","12.29","4834","58.3%","756","55.8%","1209","58.2%","1965","57.3%","2871","58.9%","-1.6pp"
"Oculus Whelp","U","C","56269","7.63","6909","11.20","7905","56.8%","1276","54.5%","1997","59.0%","3273","57.2%","4634","56.5%","0.7pp"
"Omen Hawker","U","U","29864","6.46","7961","7.96","29987","60.2%","5122","63.5%","7398","58.2%","12520","60.4%","17439","60.0%","0.4pp"
"Oracle of Tragedy","U","U","25877","5.09","5809","6.83","27699","59.9%","4916","60.0%","6991","61.3%","11907","60.8%","15757","59.3%","1.5pp"
"Order of the Mirror","U","C","53580","5.48","9562","7.75","43985","59.5%","7685","59.2%","10221","57.4%","17906","58.2%","25923","60.4%","-2.2pp"
"Preening Champion","U","C","26650","3.01","14837","3.30","92901","62.6%","16495","65.8%","23692","64.8%","40187","65.2%","52638","60.6%","4.6pp"
"Protocol Knight","U","C","52447","6.75","8894","9.07","31804","62.2%","5024","61.8%","7208","61.0%","12232","61.3%","19572","62.6%","-1.2pp"
"Rona, Herald of Invasion","U","R","2407","1.84","1670","1.85","10460","61.2%","1813","65.1%","2800","61.8%","4613","63.1%","5775","59.6%","3.5pp"
"Saiba Cryptomancer","U","C","50004","5.91","13073","7.55","67614","61.2%","11191","60.6%","17041","63.7%","28232","62.5%","39228","60.3%","2.2pp"
"See Double","U","R","2968","2.28","1750","2.35","10281","60.1%","1666","59.2%","3228","65.8%","4894","63.5%","5736","58.3%","5.2pp"
"Skyclave Aerialist","U","U","16244","3.19","8158","3.62","50631","61.5%","8933","63.7%","12840","61.8%","21773","62.6%","28496","60.6%","1.9pp"
"Stasis Field","U","C","50832","6.11","6042","9.34","16817","58.7%","2797","56.7%","4391","59.9%","7188","58.7%","9591","58.6%","0.1pp"
"Temporal Cleansing","U","C","48420","5.61","14596","7.00","77404","61.4%","12378","59.3%","20558","62.6%","32936","61.3%","44838","61.5%","-0.1pp"
"Thunderhead Squadron","U","C","54296","6.97","6961","10.37","14259","58.5%","2142","54.2%","3581","58.3%","5723","56.8%","8592","59.5%","-2.7pp"
"Tidal Terror","U","C","52832","6.33","9773","8.86","36674","59.1%","6044","56.3%","9876","59.9%","15920","58.5%","20881","59.6%","-1.1pp"
"Transcendent Message","U","R","5754","3.87","1841","4.46","8378","60.6%","1315","58.4%","2205","61.5%","3520","60.3%","4883","60.8%","-0.4pp"
"Wicked Slumber","U","U","27563","5.72","4570","8.11","14833","61.3%","2260","58.3%","3682","61.0%","5942","60.0%","8937","62.2%","-2.2pp"
"Xerex Strobe-Knight","U","U","14960","2.90","6467","3.40","39437","61.0%","6877","61.6%","10078","61.6%","16955","61.6%","22553","60.5%","1.1pp"
"Zephyr Singer","U","R","2280","1.70","1786","1.70","11105","63.6%","1898","71.2%","2937","67.4%","4835","68.9%","6305","59.5%","9.4pp"
"Zhalfirin Shapecraft","U","C","56380","7.77","9944","10.62","21615","60.2%","3495","58.5%","5368","61.7%","8863","60.4%","12789","60.1%","0.3pp"
"Aetherblade Agent","B","C","42152","3.91","8509","5.42","48222","58.8%","8402","58.1%","12651","59.5%","21053","59.0%","27018","58.5%","0.4pp"
"Archpriest of Shadows","B","R","1917","1.48","1359","1.47","7728","58.7%","1335","60.4%","2084","62.8%","3419","61.9%","4320","56.1%","5.8pp"
"Ayara, Widow of the Realm","B","R","2596","1.89","1236","1.93","7091","58.1%","1243","56.6%","1821","60.3%","3064","58.8%","4017","57.7%","1.1pp"
"Bladed Battle-Fan","B","C","57026","7.91","7199","11.25","9137","57.7%","1460","58.5%","2270","59.4%","3730","59.1%","5394","56.7%","2.4pp"
"Blightreaper Thallid","B","U","16141","3.13","6609","3.67","38657","60.0%","6749","62.9%","9971","60.8%","16720","61.7%","21708","58.6%","3.1pp"
"Bloated Processor","B","R","2661","1.92","1468","2.03","8445","59.5%","1522","60.1%","2237","61.7%","3759","61.1%","4715","58.3%","2.8pp"
"Breach the Multiverse","B","R","2392","1.79","1795","1.76","11068","61.7%","1869","63.2%","3523","72.2%","5392","69.1%","6005","56.9%","12.2pp"
"Collective Nightmare","B","U","13656","2.61","5793","3.06","33801","59.6%","5821","61.5%","8993","62.8%","14814","62.3%","19086","57.5%","4.8pp"
"Compleated Huntmaster","B","U","20962","4.05","3834","5.54","18679","57.4%","3192","55.5%","4751","57.7%","7943","56.8%","10741","57.9%","-1.1pp"
"Consuming Aetherborn","B","C","56098","7.36","5923","11.03","7429","57.5%","1114","56.2%","1867","57.5%","2981","57.0%","4444","57.8%","-0.8pp"
"Corrupted Conviction","B","C","56377","7.60","7629","10.79","16010","58.4%","2653","57.6%","4147","59.5%","6800","58.7%","9211","58.1%","0.6pp"
"Deadly Derision","B","C","22664","2.57","10163","2.96","61384","60.5%","10536","61.4%","16831","64.8%","27367","63.5%","34414","58.2%","5.3pp"
"Dreg Recycler","B","C","53489","6.78","9162","9.23","31999","58.0%","5405","58.3%","8054","58.3%","13459","58.3%","18527","57.7%","0.6pp"
"Etched Familiar","B","C","51357","6.13","6293","9.21","18216","56.7%","3135","55.8%","4631","59.0%","7766","57.7%","10448","55.9%","1.8pp"
"Etched Host Doombringer","B","C","56238","7.58","5965","11.35","5273","57.1%","784","54.2%","1417","59.8%","2201","57.8%","3082","56.6%","1.3pp"
"Failed Conversion","B","C","52808","6.60","5759","9.97","10372","55.8%","1598","51.6%","2694","57.5%","4292","55.3%","6078","56.2%","-0.9pp"
"Final Flourish","B","C","30354","3.33","11203","4.05","66065","60.0%","11680","59.9%","17522","63.3%","29202","61.9%","37013","58.5%","3.5pp"
"Flitting Guerrilla","B","C","53905","6.84","6396","10.20","14772","56.5%","2528","53.6%","3750","58.4%","6278","56.5%","8500","56.5%","0.0pp"
"Gift of Compleation","B","U","22181","4.30","3979","6.03","18267","57.5%","3179","57.4%","4541","59.2%","7720","58.4%","10519","56.9%","1.6pp"
"Glistening Deluge","B","U","32422","7.71","3896","11.37","1598","58.3%","246","53.7%","435","59.8%","681","57.6%","927","59.1%","-1.6pp"
"Gloomfang Mauler","B","C","49137","5.51","7110","8.13","28701","57.9%","4944","56.2%","7394","60.7%","12338","58.9%","16405","57.1%","1.8pp"
"Grafted Butcher","B","R","2552","1.96","1165","2.00","6564","60.0%","1174","62.9%","1564","62.5%","2738","62.7%","3814","57.9%","4.8pp"
"Hoarding Broodlord","B","R","2174","1.62","1569","1.61","9377","60.1%","1542","60.4%","2569","65.6%","4111","63.6%","5286","57.4%","6.2pp"
"Ichor Drinker","B","C","48510","5.49","10915","7.27","56710","60.4%","9910","63.4%","14134","60.1%","24044","61.4%","32595","59.5%","1.9pp"
"Ichor Shade","B","C","53159","6.83","4714","10.82","7547","55.1%","1262","51.1%","1850","57.2%","3112","54.8%","4442","55.3%","-0.6pp"
"Invasion of Eldraine","B","U","19307","4.25","4603","5.63","22635","59.2%","3806","58.2%","5894","60.3%","9700","59.4%","12798","59.0%","0.4pp"
"Invasion of Fiora","B","R","1936","1.46","1523","1.46","9282","60.6%","1563","62.1%","2544","67.4%","4107","65.4%","5083","56.4%","9.0pp"
"Invasion of Innistrad","B","M","935","1.40","733","1.39","4544","61.1%","756","64.2%","1280","68.3%","2036","66.7%","2463","56.2%","10.6pp"
"Invasion of Ulgrotha","B","U","17319","3.73","3287","5.09","16224","58.2%","2586","56.3%","4411","61.6%","6997","59.6%","9150","57.1%","2.5pp"
"Merciless Repurposing","B","U","18644","3.57","5630","4.38","30749","59.1%","4796","57.5%","8483","63.6%","13279","61.4%","17697","57.6%","3.8pp"
"Mirrodin Avenged","B","C","56422","7.95","5638","11.97","4511","56.7%","714","55.3%","1118","58.3%","1832","57.2%","2671","56.4%","0.7pp"
"Nezumi Freewheeler","B","U","21821","4.27","2873","6.31","11873","56.4%","1987","54.4%","3066","58.4%","5053","56.8%","6781","55.9%","0.9pp"
"Nezumi Informant","B","C","43367","4.72","11985","6.00","67617","60.1%","11843","61.3%","17168","60.5%","29011","60.9%","38515","59.5%","1.4pp"
"Phyrexian Gargantua","B","U","22605","4.36","4492","5.97","20968","57.7%","3273","54.4%","5527","59.0%","8800","57.3%","12191","58.0%","-0.7pp"
"Pile On","B","R","2090","1.51","1529","1.52","9252","61.5%","1523","64.1%","2586","68.2%","4109","66.7%","5216","57.5%","9.2pp"
"Render Inert","B","U","28276","5.71","5122","8.00","14977","58.6%","2414","57.5%","3967","62.1%","6381","60.4%","8658","57.4%","2.9pp"
"Scorn-Blade Berserker","B","U","23028","4.34","7173","5.34","39955","60.9%","7078","61.3%","10105","63.2%","17183","62.4%","22727","59.7%","2.7pp"
"Sheoldred","B","M","862","1.20","755","1.19","4709","61.9%","832","65.1%","1287","68.5%","2119","67.2%","2554","57.0%","10.2pp"
"Tenured Oilcaster","B","C","57071","8.14","5520","12.15","3385","55.5%","547","53.2%","880","57.8%","1427","56.1%","1972","55.3%","0.8pp"
"Traumatic Revelation","B","C","53077","6.60","9210","9.14","31520","58.1%","5444","58.2%","8029","59.2%","13473","58.8%","18069","57.5%","1.3pp"
"Unseal the Necropolis","B","C","50678","6.07","11106","7.99","48720","59.9%","7772","57.4%","13697","64.4%","21469","61.9%","27736","58.6%","3.3pp"
"Vanquish the Weak","B","C","36833","3.98","7317","5.45","39036","59.0%","6842","56.6%","10260","61.3%","17102","59.4%","22046","58.6%","0.8pp"
"Akki Scrapchomper","R","C","58163","8.88","7189","12.08","10099","59.0%","1694","59.4%","2339","56.9%","4033","58.0%","6063","59.7%","-1.7pp"
"Beamtown Beatstick","R","C","52767","7.11","7775","9.33","25582","57.9%","4322","61.0%","6003","57.4%","10325","58.9%","15252","57.3%","1.6pp"
"Bloodfeather Phoenix","R","R","4228","3.01","817","3.85","3750","58.1%","646","60.7%","875","56.9%","1521","58.5%","2226","58.0%","0.5pp"
"Burning Sun's Fury","R","C","58850","9.37","5406","13.52","545","","84","","115","","199","","346","55.2%",""
"Chandra, Hope's Beacon","R","M","859","1.36","635","1.33","3590","62.9%","576","67.2%","950","68.6%","1526","68.1%","2071","59.2%","8.9pp"
"City on Fire","R","R","5428","3.83","931","5.06","2842","57.0%","442","54.5%","705","58.9%","1147","57.2%","1704","56.9%","0.3pp"
"Coming In Hot","R","C","58440","8.90","5368","13.01","2162","57.7%","335","54.3%","477","56.4%","812","55.5%","1349","58.9%","-3.4pp"
"Etali, Primal Conqueror","R","R","1928","1.45","1450","1.43","8223","60.1%","1313","63.1%","2161","66.8%","3474","65.4%","4627","55.5%","10.0pp"
"Fearless Skald","R","U","23684","4.68","4580","6.13","20891","59.5%","3326","59.6%","4909","60.3%","8235","60.0%","12642","59.0%","1.0pp"
"Furnace Gremlin","R","U","26850","5.36","3665","7.56","14966","57.0%","2657","56.3%","3566","56.5%","6223","56.4%","8744","57.5%","-1.0pp"
"Furnace Host Charger","R","C","53257","6.81","5955","10.08","14246","56.3%","2442","53.7%","3546","56.7%","5988","55.5%","8274","56.9%","-1.4pp"
"Furnace Reins","R","U","27972","5.95","4728","7.66","14569","59.7%","2459","60.6%","3654","63.1%","6113","62.1%","8450","57.9%","4.2pp"
"Hangar Scrounger","R","C","54375","7.17","7095","9.99","22744","58.6%","3850","59.4%","5217","58.0%","9067","58.6%","13663","58.5%","0.1pp"
"Harried Artisan","R","U","23464","4.93","2427","7.30","8636","56.4%","1479","51.8%","1935","54.6%","3414","53.4%","5191","58.3%","-4.9pp"
"Into the Fire","R","R","4587","3.25","562","4.95","1447","55.4%","292","51.0%","350","55.7%","642","53.6%","808","56.9%","-3.3pp"
"Invasion of Kaldheim","R","R","4027","2.94","888","3.49","3849","56.4%","629","53.9%","927","55.2%","1556","54.7%","2250","57.4%","-2.7pp"
"Invasion of Karsus","R","R","2911","2.25","855","2.36","3647","57.3%","607","62.9%","902","60.2%","1509","61.3%","2091","54.5%","6.8pp"
"Invasion of Mercadia","R","U","18450","4.02","4481","5.09","23183","59.6%","4167","61.6%","5456","60.3%","9623","60.9%","13486","58.7%","2.1pp"
"Invasion of Regatha","R","U","18379","4.22","2439","6.13","10011","58.1%","1683","56.9%","2373","59.2%","4056","58.3%","5851","57.9%","0.4pp"
"Invasion of Tarkir","R","M","1234","1.88","688","1.86","3595","60.3%","684","66.1%","874","63.3%","1558","64.5%","1983","56.6%","7.9pp"
"Karsus Depthguard","R","C","57589","8.39","5449","12.34","4214","56.7%","669","55.2%","919","54.8%","1588","55.0%","2620","57.8%","-2.8pp"
"Khenra Spellspear","R","U","15133","3.10","4504","3.64","24178","59.2%","4383","62.9%","5762","58.0%","10145","60.1%","13980","58.6%","1.5pp"
"Lithomantic Barrage","R","U","30388","6.79","3774","9.95","6258","59.5%","1082","60.3%","1482","62.3%","2564","61.4%","3697","58.2%","3.2pp"
"Marauding Dreadship","R","C","54656","7.22","10373","9.27","37892","59.2%","6484","59.0%","8968","59.8%","15452","59.5%","22414","58.9%","0.5pp"
"Mirran Banesplitter","R","C","57164","8.71","5318","12.75","2958","58.5%","464","58.8%","672","56.4%","1136","57.4%","1820","59.3%","-1.9pp"
"Nahiri's Warcrafting","R","R","2918","2.13","1098","2.30","5898","59.5%","998","56.7%","1476","64.7%","2474","61.5%","3432","58.1%","3.4pp"
"Onakke Javelineer","R","C","56373","7.82","5691","11.62","7801","56.7%","1259","53.9%","1952","57.9%","3211","56.4%","4621","57.0%","-0.6pp"
"Pyretic Prankster","R","C","58022","6.38","6744","9.23","22668","56.9%","3893","53.9%","5407","54.8%","9300","54.4%","13321","58.6%","-4.2pp"
"Ral's Reinforcements","R","C","48319","5.83","9734","7.44","42549","60.3%","7498","62.9%","10222","59.0%","17720","60.7%","24837","60.0%","0.6pp"
"Ramosian Greatsword","R","U","30249","6.95","3703","9.95","7222","58.1%","1124","55.0%","1726","57.3%","2850","56.4%","4377","59.3%","-2.9pp"
"Rampaging Raptor","R","R","2375","1.79","1073","1.80","5635","59.2%","998","58.6%","1420","62.7%","2418","61.0%","3236","57.8%","3.2pp"
"Redcap Heelslasher","R","C","55831","7.72","5344","11.44","8137","57.1%","1322","55.8%","1799","56.9%","3121","56.5%","5025","57.5%","-1.0pp"
"Scrappy Bruiser","R","U","31524","7.34","2770","11.34","1819","56.3%","277","53.8%","421","60.1%","698","57.6%","1121","55.5%","2.1pp"
"Searing Barb","R","C","54775","7.48","5253","11.16","6721","56.8%","1136","56.1%","1656","56.7%","2792","56.4%","3937","57.0%","-0.6pp"
"Shatter the Source","R","C","51218","6.23","7049","8.93","25577","58.0%","3904","55.0%","6371","59.4%","10275","57.7%","15319","58.2%","-0.5pp"
"Shivan Branch-Burner","R","U","24994","5.06","2686","7.44","9347","57.9%","1468","54.7%","2289","59.7%","3757","57.7%","5608","58.0%","-0.3pp"
"Stoke the Flames","R","U","14497","2.84","4097","3.43","22625","59.2%","3684","58.9%","5576","62.5%","9260","61.1%","13392","57.9%","3.2pp"
"Thrashing Frontliner","R","C","54465","7.31","6502","10.42","17895","57.1%","3091","57.5%","4217","54.7%","7308","55.9%","10579","58.0%","-2.1pp"
"Trailblazing Historian","R","C","56783","8.29","5466","12.10","5128","56.4%","864","54.6%","1155","54.2%","2019","54.4%","3110","57.6%","-3.2pp"
"Urabrask","R","M","1164","1.76","451","1.87","2351","58.6%","402","58.5%","593","58.5%","995","58.5%","1355","58.8%","-0.3pp"
"Volcanic Spite","R","C","28415","3.10","8557","3.79","47239","60.0%","8414","62.0%","11452","62.6%","19866","62.3%","27378","58.3%","4.0pp"
"Voldaren Thrillseeker","R","R","2882","2.10","1276","2.20","7018","61.2%","1212","63.6%","1663","64.7%","2875","64.2%","4139","58.9%","5.3pp"
"War-Trained Slasher","R","C","55699","7.79","4886","11.70","5784","55.1%","894","55.5%","1414","53.5%","2308","54.3%","3472","55.6%","-1.3pp"
"Wrenn's Resolve","R","C","56537","8.19","6380","11.68","7950","57.0%","1426","52.9%","1877","56.7%","3303","55.0%","4657","58.4%","-3.3pp"
"Ancient Imperiosaur","G","R","2115","1.61","1290","1.59","7209","60.4%","1167","62.6%","1794","66.8%","2961","65.1%","4235","57.0%","8.2pp"
"Arachnoid Adaptation","G","C","57194","8.01","8205","10.95","19615","59.3%","3069","59.5%","4531","59.7%","7600","59.6%","12016","59.1%","0.5pp"
"Atraxa's Fall","G","C","55817","7.80","4264","12.20","2570","54.9%","406","51.0%","610","53.6%","1016","52.6%","1559","56.6%","-4.0pp"
"Blighted Burgeoning","G","C","43707","5.07","7751","6.73","36224","58.2%","6374","60.4%","8651","59.9%","15025","60.1%","21131","56.8%","3.3pp"
"Bonded Herdbeast","G","C","63487","7.87","5217","12.19","3811","56.0%","572","56.6%","966","54.1%","1538","55.1%","2206","56.5%","-1.4pp"
"Chomping Kavu","G","C","51855","6.26","6594","9.01","23456","57.6%","3792","55.7%","5360","56.0%","9152","55.9%","14218","58.5%","-2.6pp"
"Converter Beast","G","C","51079","6.08","9062","8.23","39615","58.5%","6639","57.1%","9666","60.2%","16305","58.9%","23135","58.0%","0.9pp"
"Copper Host Crusher","G","U","29801","6.69","2588","10.75","2832","54.8%","441","53.3%","669","55.2%","1110","54.4%","1718","54.9%","-0.5pp"
"Cosmic Hunger","G","C","38101","4.13","6705","5.64","36397","58.3%","5962","56.6%","8839","60.5%","14801","58.9%","21624","57.9%","1.0pp"
"Crystal Carapace","G","C","58234","9.18","4996","13.55","326","","54","","64","","118","","205","51.7%",""
"Deeproot Wayfinder","G","R","2987","2.16","1110","2.36","6170","59.0%","1129","62.3%","1465","57.8%","2594","59.8%","3570","58.4%","1.3pp"
"Doomskar Warrior","G","R","2282","1.68","1289","1.68","7257","59.7%","1241","68.4%","1780","62.7%","3021","65.0%","4206","55.8%","9.2pp"
"Fertilid's Favor","G","C","53990","6.98","5617","10.49","10973","56.8%","1795","56.3%","2610","59.3%","4405","58.1%","6584","55.8%","2.3pp"
"Glistening Dawn","G","R","2385","1.77","1479","1.72","8648","60.1%","1523","62.0%","2252","65.6%","3775","64.1%","4917","57.2%","6.9pp"
"Gnottvold Hermit","G","U","24301","4.97","2682","7.40","9631","56.7%","1596","55.3%","2295","55.3%","3891","55.3%","5515","57.3%","-2.0pp"
"Herbology Instructor","G","U","16754","3.24","4784","4.05","26019","59.0%","4720","58.4%","6274","61.4%","10994","60.1%","14343","57.7%","2.3pp"
"Invasion of Ikoria","G","R","2918","2.26","794","2.57","3908","57.0%","616","56.3%","923","62.2%","1539","59.8%","2246","54.2%","5.6pp"
"Invasion of Ixalan","G","R","2796","2.13","1246","2.26","6845","59.1%","1196","63.2%","1582","60.9%","2778","61.9%","3860","57.0%","4.9pp"
"Invasion of Muraganda","G","U","20103","4.60","2186","6.92","7817","56.5%","1257","53.1%","1860","57.2%","3117","55.5%","4448","56.5%","-1.0pp"
"Invasion of Shandalar","G","M","1521","2.34","271","2.85","938","55.1%","131","","235","57.4%","366","54.1%","544","55.5%","-1.4pp"
"Invasion of Zendikar","G","U","13361","3.01","3263","3.80","17262","57.2%","2964","59.5%","4181","58.0%","7145","58.6%","9583","55.7%","3.0pp"
"Iridescent Blademaster","G","C","55073","7.26","6240","10.51","15009","56.5%","2576","55.5%","3326","55.6%","5902","55.5%","9086","57.1%","-1.5pp"
"Kami of Whispered Hopes","G","U","17054","3.30","3323","4.24","17396","57.6%","3119","59.9%","3894","55.6%","7013","57.5%","10357","57.6%","-0.1pp"
"Overgrown Pest","G","C","40418","4.40","8573","5.74","45698","58.7%","8138","58.9%","11129","59.5%","19267","59.2%","26275","58.2%","1.0pp"
"Ozolith, the Shattered Spire","G","R","2252","1.73","1124","1.73","6276","59.5%","1173","62.1%","1484","60.5%","2657","61.2%","3612","58.2%","3.0pp"
"Placid Rottentail","G","C","55837","7.79","4724","12.00","4634","57.7%","770","57.3%","1011","54.5%","1781","55.7%","2827","59.0%","-3.3pp"
"Polukranos Reborn","G","R","2496","1.89","1097","1.96","6135","59.2%","1052","64.9%","1471","60.6%","2523","62.4%","3411","56.3%","6.1pp"
"Portent Tracker","G","C","41835","4.67","6549","6.46","33090","58.1%","5871","60.6%","7528","57.2%","13399","58.7%","19636","57.6%","1.1pp"
"Ravenous Sailback","G","U","27167","5.48","2758","8.42","7367","56.8%","1191","53.0%","1708","58.0%","2899","56.0%","4436","57.3%","-1.3pp"
"Sandstalker Moloch","G","U","24203","4.65","4594","6.30","22308","58.9%","3842","58.6%","5310","59.4%","9152","59.1%","13081","58.7%","0.4pp"
"Seed of Hope","G","C","57784","8.57","8635","11.48","14851","58.7%","2556","58.5%","3442","59.2%","5998","58.9%","8859","58.5%","0.5pp"
"Serpent-Blade Assailant","G","C","49644","5.82","4864","8.87","18454","57.8%","3197","58.2%","4146","58.1%","7343","58.1%","11034","57.4%","0.8pp"
"Storm the Seedcore","G","U","25251","5.14","3317","7.44","11987","59.5%","1798","60.7%","2751","59.5%","4549","60.0%","7446","59.3%","0.7pp"
"Streetwise Negotiator","G","U","19747","3.67","5882","4.55","31879","58.9%","5669","61.4%","7359","58.8%","13028","59.9%","18724","58.1%","1.8pp"
"Tandem Takedown","G","U","17568","3.31","4180","4.22","23323","59.6%","3721","58.1%","5738","62.1%","9459","60.6%","13894","58.9%","1.7pp"
"Tangled Skyline","G","U","22836","4.46","5914","5.60","28257","58.3%","4485","56.6%","7127","60.3%","11612","58.9%","16568","57.9%","1.0pp"
"Timberland Ancient","G","C","49330","5.69","6003","8.52","24259","57.4%","4167","55.2%","5876","58.8%","10043","57.3%","14201","57.4%","-0.1pp"
"Tribute to the World Tree","G","R","3439","2.66","600","3.18","2316","54.1%","381","56.4%","558","50.4%","939","52.8%","1381","55.0%","-2.1pp"
"Vengeant Earth","G","C","58813","9.34","5637","13.52","581","","93","","134","","227","48.9%","358","53.4%","-4.5pp"
"Vorinclex","G","M","941","1.36","674","1.33","3819","62.3%","668","65.4%","1023","68.5%","1691","67.3%","2004","57.2%","10.1pp"
"War Historian","G","C","52535","6.47","6428","9.36","21204","57.6%","3646","57.2%","4891","56.8%","8537","57.0%","12625","58.1%","-1.1pp"
"Wary Thespian","G","C","48429","5.61","8611","7.58","43127","58.7%","7634","60.5%","9796","57.7%","17430","58.9%","25570","58.6%","0.3pp"
"Wildwood Escort","G","C","54994","6.95","6855","10.05","17730","56.6%","2812","53.1%","4277","56.3%","7089","55.1%","10596","57.4%","-2.4pp"
"Wrenn and Realmbreaker","G","M","989","1.43","515","1.43","2720","58.4%","473","58.6%","694","65.7%","1167","62.8%","1549","55.1%","7.7pp"
"Baral and Kari Zev","UR","R","4174","3.17","1268","3.61","4879","58.4%","826","58.8%","1272","60.1%","2098","59.6%","2799","57.5%","2.1pp"
"Borborygmos and Fblthp","URG","M","1557","2.50","758","2.49","3900","59.8%","657","65.9%","1078","66.3%","1735","66.2%","2225","54.9%","11.2pp"
"Botanical Brawler","WG","U","20895","4.48","3084","5.81","12296","59.5%","2126","64.2%","2562","58.0%","4688","60.8%","7555","58.6%","2.3pp"
"Djeru and Hazoret","WR","R","4937","3.64","744","5.00","1875","54.9%","284","54.9%","419","54.4%","703","54.6%","1160","55.0%","-0.4pp"
"Drana and Linvala","WB","R","3551","2.88","565","3.65","2070","55.8%","325","55.1%","529","62.4%","854","59.6%","1229","53.2%","6.4pp"
"Elvish Vatkeeper","BG","U","20980","4.12","5051","5.16","23175","59.3%","3916","61.3%","5884","62.5%","9800","62.0%","13279","57.2%","4.9pp"
"Errant and Giada","WU","R","4572","3.37","1161","4.08","4904","61.7%","861","61.3%","1139","60.6%","2000","60.9%","2897","62.0%","-1.1pp"
"Ghalta and Mavren","WG","R","2829","2.24","923","2.23","4085","57.5%","655","58.0%","976","62.6%","1631","60.8%","2441","55.1%","5.7pp"
"Glissa, Herald of Predation","BG","R","1972","1.46","1553","1.43","9478","61.1%","1601","67.1%","2542","67.6%","4143","67.4%","5352","56.1%","11.3pp"
"Halo Forager","UB","U","19330","3.87","7884","4.45","42542","61.7%","7014","60.4%","11706","66.4%","18720","64.1%","23786","59.8%","4.4pp"
"Hidetsugu and Kairi","UB","R","2731","2.09","1855","2.08","10848","62.4%","1842","64.1%","3044","68.8%","4886","67.0%","6010","58.6%","8.4pp"
"Inga and Esika","UG","R","3583","2.73","1144","3.16","5451","57.7%","983","58.9%","1405","59.6%","2388","59.3%","3042","56.1%","3.3pp"
"Invasion of Alara","WUBRG","R","6115","4.33","1312","5.53","3456","53.5%","579","52.0%","954","59.1%","1533","56.4%","1767","50.8%","5.7pp"
