"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Pelargir Survivor","U","C","151985","6.45","28946","8.39","117628","56.2%","20904","58.4%","36477","58.7%","57381","58.6%","60150","54.0%","4.6pp"
"Press the Enemy","U","R","13645","4.15","2267","5.53","6154","51.0%","977","47.9%","1878","55.1%","2855","52.6%","3292","49.1%","3.5pp"
"Rangers of Ithilien","U","R","5643","1.88","3346","1.83","17498","57.3%","2932","61.1%","5443","65.2%","8375","63.7%","9001","51.3%","12.5pp"
"Saruman the White","U","U","30846","3.36","8032","3.98","36600","52.9%","5906","53.4%","11349","56.1%","17255","55.2%","19208","50.8%","4.3pp"
"Saruman's Trickery","U","U","37209","3.95","11409","4.55","56331","57.4%","9352","60.6%","18363","64.0%","27715","62.9%","28795","52.3%","10.6pp"
"Scroll of Isildur","U","R","9231","2.87","3196","3.17","14671","55.9%","2510","57.8%","4620","62.3%","7130","60.7%","7466","51.3%","9.4pp"
"Soothing of Sméagol","U","C","141183","5.65","26380","7.55","110776","55.3%","18998","54.2%","35552","60.7%","54550","58.5%","56289","52.3%","6.2pp"
"Stern Scolding","U","U","48372","5.24","10374","6.72","39760","54.0%","6987","55.3%","12194","55.7%","19181","55.5%","20494","52.4%","3.1pp"
"Storm of Saruman","U","M","5346","3.37","1065","4.17","2658","46.2%","409","42.1%","831","47.1%","1240","45.4%","1391","46.7%","-1.3pp"
"Surrounded by Orcs","U","C","155118","6.89","21328","9.81","43047","49.9%","7035","47.4%","13597","53.1%","20632","51.2%","22552","48.7%","2.5pp"
"Treason of Isengard","U","C","152435","6.47","25454","8.86","77288","52.6%","12614","49.3%","24688","55.2%","37302","53.2%","40031","51.8%","1.4pp"
"The Watcher in the Water","U","M","5102","3.25","958","4.00","1615","44.3%","268","38.4%","509","45.2%","777","42.9%","831","45.6%","-2.8pp"
"Willow-Wind","U","C","156844","6.87","19291","10.04","39127","51.1%","6137","49.9%","11725","54.4%","17862","52.9%","20959","49.3%","3.6pp"
"Bitter Downfall","B","U","21030","2.27","11079","2.48","63834","58.0%","10504","58.2%","17764","63.1%","28268","61.3%","35752","55.5%","5.8pp"
"The Black Breath","B","C","164213","7.38","22332","10.67","26683","55.2%","4269","54.6%","7177","58.7%","11446","57.2%","15188","53.8%","3.4pp"
"Call of the Ring","B","R","4559","1.53","3425","1.50","19317","57.8%","3429","65.4%","5072","60.0%","8501","62.1%","10757","54.4%","7.7pp"
"Cirith Ungol Patrol","B","C","152092","6.08","25331","8.56","89854","56.8%","13882","54.6%","23885","58.3%","37767","57.0%","52220","56.6%","0.4pp"
"Claim the Precious","B","C","61584","2.45","30013","2.71","174339","58.8%","29533","60.1%","48464","63.9%","77997","62.4%","96819","55.8%","6.6pp"
"Dunland Crebain","B","C","87981","3.24","34302","3.82","201149","59.1%","35797","61.5%","53327","62.2%","89124","61.9%","111515","56.8%","5.1pp"
"Easterling Vanguard","B","C","117350","4.21","29224","5.54","164226","58.2%","29379","59.2%","42283","59.1%","71662","59.1%","92481","57.5%","1.6pp"
"Gollum, Patient Plotter","B","U","23947","2.52","11071","2.82","63602","58.8%","11682","61.4%","16814","61.2%","28496","61.3%","35019","56.7%","4.6pp"
"Gollum's Bite","B","U","24763","2.60","11763","2.89","67050","58.7%","11909","60.4%","17881","62.5%","29790","61.6%","37225","56.3%","5.3pp"
"Gorbag of Minas Morgul","B","U","39596","3.98","7265","5.45","33098","54.9%","6032","53.9%","8258","55.4%","14290","54.8%","18790","54.9%","-0.2pp"
"Gothmog, Morgul Lieutenant","B","U","23035","2.46","9763","2.74","55420","58.0%","9367","59.8%","14977","61.8%","24344","61.0%","30991","55.6%","5.4pp"
"Gríma Wormtongue","B","U","33957","3.48","7962","4.41","37881","55.1%","6513","54.0%","10040","56.4%","16553","55.5%","21376","54.6%","0.8pp"
"Grond, the Gatebreaker","B","U","41379","4.32","8130","5.71","29691","54.8%","4752","53.8%","7840","55.0%","12592","54.6%","17160","54.9%","-0.3pp"
"Haunt of the Dead Marshes","B","C","137533","5.25","26260","7.24","116643","57.3%","20824","58.2%","30391","58.8%","51215","58.5%","65258","56.3%","2.2pp"
"Isildur's Fateful Strike","B","R","7543","2.36","2566","2.54","11737","53.8%","1864","51.7%","3148","54.8%","5012","53.7%","6728","53.9%","-0.2pp"
"Lash of the Balrog","B","C","108236","3.95","26587","5.20","140237","56.8%","22732","54.4%","37921","59.7%","60653","57.7%","79661","56.1%","1.7pp"
"Lobelia Sackville-Baggins","B","R","7094","2.18","2712","2.34","13521","54.3%","2307","53.0%","3586","56.9%","5893","55.3%","7577","53.4%","1.9pp"
"March from the Black Gate","B","U","24025","2.58","9455","2.92","52543","57.3%","9498","63.0%","13594","56.0%","23092","58.9%","29336","56.1%","2.8pp"
"Mirkwood Bats","B","C","123797","4.70","20175","6.67","82639","54.6%","13604","51.9%","21393","55.7%","34997","54.2%","47609","54.8%","-0.5pp"
"Mordor Muster","B","C","114593","4.14","31268","5.39","173367","57.9%","31262","59.4%","46159","59.0%","77421","59.1%","96037","56.9%","2.2pp"
"Mordor Trebuchet","B","C","134287","5.25","19768","7.62","68650","54.2%","11798","52.3%","17216","54.5%","29014","53.6%","39606","54.7%","-1.1pp"
"Morgul-Knife Wound","B","C","150963","6.25","18843","9.31","43183","55.5%","7318","54.3%","11306","57.4%","18624","56.2%","24489","55.0%","1.2pp"
"Nasty End","B","C","147968","5.84","24836","8.30","89237","55.7%","14640","52.8%","23414","56.3%","38054","55.0%","51159","56.3%","-1.4pp"
"Nazgûl","B","U","20016","2.21","11006","2.35","63852","59.6%","11382","63.6%","17709","63.9%","29091","63.8%","34758","56.1%","7.7pp"
"Oath of the Grey Host","B","U","34761","3.57","9737","4.40","45927","56.3%","7669","55.9%","12104","57.9%","19773","57.1%","26129","55.7%","1.4pp"
"One Ring to Rule Them All","B","R","7000","2.20","2626","2.29","11694","53.8%","1935","51.5%","3146","57.0%","5081","54.9%","6581","52.9%","2.0pp"
"Orcish Bowmasters","B","R","4256","1.39","3540","1.38","21173","62.5%","3862","72.9%","5597","70.5%","9459","71.5%","11612","55.1%","16.4pp"
"Orcish Medicine","B","C","152500","6.21","20837","9.21","51549","55.9%","8391","53.8%","13250","58.1%","21641","56.4%","29904","55.5%","0.9pp"
"Sam's Desperate Rescue","B","C","146418","5.76","28950","7.80","119442","58.0%","19117","55.9%","31895","61.2%","51012","59.2%","68380","57.1%","2.1pp"
"Sauron, the Necromancer","B","R","4475","1.47","3028","1.46","16538","55.8%","2708","55.8%","4500","59.1%","7208","57.9%","9334","54.0%","3.8pp"
"Shadow of the Enemy","B","M","5410","3.42","997","4.45","2367","52.2%","362","43.9%","681","54.9%","1043","51.1%","1319","52.7%","-1.6pp"
"Shelob's Ambush","B","C","153139","6.22","28711","8.46","106027","59.0%","16807","58.9%","27512","61.7%","44319","60.6%","61666","57.8%","2.8pp"
"Snarling Warg","B","C","156936","6.55","21025","9.63","43567","55.8%","6998","55.4%","11309","56.1%","18307","55.8%","25296","55.7%","0.1pp"
"The Torment of Gollum","B","C","132386","5.20","34851","6.44","172400","59.4%","28602","61.1%","47471","62.0%","76073","61.7%","96379","57.6%","4.1pp"
"Troll of Khazad-dûm","B","C","122509","4.49","27287","6.09","144769","57.7%","25132","57.2%","38744","59.8%","63876","58.8%","80849","56.8%","2.0pp"
"Uruk-hai Berserker","B","C","117718","4.31","29156","5.63","159563","58.1%","28034","58.6%","42349","60.1%","70383","59.5%","89046","57.0%","2.5pp"
"Voracious Fell Beast","B","U","24254","2.60","11371","2.84","64605","59.4%","10154","59.8%","17482","64.8%","27636","62.9%","36805","56.7%","6.2pp"
"Witch-king of Angmar","B","M","1943","1.19","1697","1.18","10218","60.1%","1775","68.6%","2935","67.0%","4710","67.6%","5476","53.2%","14.4pp"
"Battle-Scarred Goblin","R","C","146132","5.76","25512","8.02","108680","57.6%","19338","58.5%","26040","56.4%","45378","57.3%","63302","57.9%","-0.6pp"
"Book of Mazarbul","R","U","30479","3.19","10200","3.73","55387","58.9%","9805","60.9%","13501","60.1%","23306","60.5%","32048","57.7%","2.8pp"
