"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Wose Pathfinder","G","C","125177","4.91","17199","6.69","76357","53.2%","14085","56.8%","18079","54.0%","32164","55.2%","43968","51.7%","3.5pp"
"Aragorn, Company Leader","WG","R","6963","2.30","2359","2.33","9523","51.7%","1641","54.2%","2447","55.3%","4088","54.8%","5371","49.1%","5.7pp"
"Aragorn, the Uniter","WURG","M","3922","2.55","1118","2.65","3469","50.5%","569","58.3%","965","56.3%","1534","57.0%","1899","45.0%","12.0pp"
"Arwen, Mortal Queen","WG","M","2689","1.82","1340","1.72","6149","56.8%","1126","65.5%","1575","67.2%","2701","66.5%","3363","48.4%","18.2pp"
"Arwen Undómiel","UG","U","38336","4.47","5981","5.82","19438","51.4%","3471","56.4%","5532","54.6%","9003","55.3%","10285","47.7%","7.7pp"
"The Balrog, Durin's Bane","BR","R","6528","2.16","3150","2.19","15244","55.9%","2292","57.6%","3999","58.6%","6291","58.2%","8949","54.2%","4.0pp"
"Bilbo, Retired Burglar","UR","U","36250","4.10","10793","4.60","45983","56.8%","7991","60.9%","14087","61.0%","22078","61.0%","23761","53.0%","8.0pp"
"Butterbur, Bree Innkeeper","WG","U","43690","4.84","5779","6.82","17046","51.3%","2761","49.8%","4456","54.8%","7217","52.9%","9750","50.1%","2.8pp"
"Denethor, Ruling Steward","WB","U","32034","3.45","9709","3.96","43866","56.6%","7401","58.0%","11803","61.3%","19204","60.0%","24575","53.9%","6.1pp"
"Doors of Durin","RG","R","10079","3.47","2224","4.03","6784","52.7%","1155","54.2%","1673","57.2%","2828","56.0%","3948","50.2%","5.7pp"
"Elrond, Master of Healing","UG","R","8099","2.83","2209","2.89","7691","50.0%","1264","55.8%","2307","54.4%","3571","54.9%","4045","45.6%","9.3pp"
"Éowyn, Fearless Knight","WR","R","6650","2.30","3311","2.24","16011","57.9%","2731","62.7%","3780","64.4%","6511","63.7%","9344","53.5%","10.1pp"
"Faramir, Prince of Ithilien","WU","R","5800","2.06","3434","1.91","17393","56.6%","2929","66.1%","5253","65.8%","8182","65.9%","9034","48.0%","17.9pp"
"Flame of Anor","UR","R","9427","3.10","3502","3.25","14330","55.7%","2418","57.4%","5004","61.8%","7422","60.3%","7324","51.4%","8.9pp"
"Friendly Rivalry","RG","U","53102","6.06","6825","8.72","13079","52.5%","2021","50.2%","3161","56.1%","5182","53.8%","7883","51.7%","2.1pp"
"Frodo Baggins","WG","U","35741","3.94","7156","4.81","27733","54.7%","4806","63.4%","7053","58.6%","11859","60.5%","15591","50.0%","10.5pp"
"Galadriel of Lothlórien","UG","R","8635","2.94","2221","3.06","7589","50.6%","1324","54.2%","2257","54.4%","3581","54.3%","3973","47.2%","7.1pp"
"Gandalf the Grey","UR","R","7047","2.39","3030","2.41","13341","53.2%","2267","51.6%","4605","57.3%","6872","55.4%","6876","51.2%","4.2pp"
"Gandalf's Sanction","UR","U","41373","4.58","12431","5.17","54530","56.5%","8971","53.6%","19306","63.4%","28277","60.3%","27026","52.6%","7.7pp"
"Gimli, Mournful Avenger","RG","R","13245","4.15","1978","5.92","3916","49.3%","661","49.3%","952","49.7%","1613","49.5%","2298","48.9%","0.6pp"
"Gwaihir the Windlord","WU","U","49646","5.59","6452","8.15","12146","49.4%","1865","46.4%","3792","53.3%","5657","51.0%","6392","47.6%","3.4pp"
"King of the Oathbreakers","WB","R","6535","2.19","3129","2.13","14013","54.7%","2293","56.1%","3652","57.6%","5945","57.0%","7913","52.7%","4.3pp"
"Legolas, Counter of Kills","UG","U","46463","5.30","5118","8.00","9761","47.0%","1591","45.3%","2693","48.5%","4284","47.3%","5410","46.3%","1.0pp"
"Lotho, Corrupt Shirriff","WB","R","13148","3.99","2570","5.26","7730","53.7%","1328","52.2%","1957","55.0%","3285","53.9%","4410","53.4%","0.4pp"
"Mauhúr, Uruk-hai Captain","BR","U","32244","3.52","9732","4.03","48059","58.8%","8376","63.0%","11947","58.8%","20323","60.5%","27794","57.5%","3.0pp"
"Merry, Esquire of Rohan","WR","R","11005","3.52","2492","4.23","9048","55.9%","1647","60.8%","1990","54.5%","3637","57.4%","5363","54.8%","2.6pp"
"The Mouth of Sauron","UB","U","34556","3.67","11143","4.28","48624","55.8%","7751","55.3%","14969","62.3%","22720","59.9%","25386","52.1%","7.8pp"
"Old Man Willow","BG","U","33981","3.70","8551","4.44","33721","54.6%","5621","56.1%","8993","60.5%","14614","58.8%","19032","51.1%","7.7pp"
"Pippin, Guard of the Citadel","WU","R","9096","3.07","2725","3.29","8648","53.7%","1483","61.6%","2517","58.6%","4000","59.7%","4540","48.3%","11.4pp"
"Prince Imrahil the Fair","WU","U","42134","4.72","7810","6.09","22724","52.1%","3962","55.7%","6999","57.4%","10961","56.7%","11561","47.5%","9.2pp"
"Ringsight","UB","U","58904","6.81","8310","9.83","7845","51.5%","1221","48.1%","2483","56.7%","3704","53.8%","4144","49.4%","4.4pp"
"Rise of the Witch-king","BG","U","44683","4.90","7592","6.67","21830","54.0%","3504","52.5%","5689","58.4%","9193","56.1%","12627","52.5%","3.7pp"
"Samwise Gamgee","WG","R","8654","2.81","2219","3.03","9090","53.3%","1612","58.5%","2329","56.2%","3941","57.2%","5028","50.0%","7.2pp"
"Saruman of Many Colors","WUB","M","3385","2.20","1215","2.20","4025","48.2%","625","44.8%","1224","52.4%","1849","49.8%","2115","46.2%","3.6pp"
"Sauron, the Dark Lord","UBR","M","2194","1.51","1553","1.45","8176","55.6%","1374","58.7%","2386","63.5%","3760","61.8%","4303","49.9%","11.8pp"
"Sauron's Ransom","UB","R","12280","3.77","3407","4.43","11330","55.4%","1907","55.3%","3584","59.8%","5491","58.2%","5899","52.7%","5.5pp"
"Shadow Summoning","WB","U","41325","4.45","11226","5.21","44905","58.0%","7768","62.2%","11632","61.2%","19400","61.6%","25492","55.2%","6.4pp"
"Shadowfax, Lord of Horses","WR","U","42166","4.60","8456","5.93","28982","56.8%","4661","59.0%","6837","58.7%","11498","58.8%","17220","55.2%","3.7pp"
"Shagrat, Loot Bearer","BR","R","13415","4.10","2129","5.72","4165","55.9%","694","55.0%","970","56.7%","1664","56.0%","2518","55.9%","0.1pp"
"Sharkey, Tyrant of the Shire","UB","R","19344","5.64","2465","8.69","266","","41","","84","","125","","142","",""
"Shelob, Child of Ungoliant","BG","R","5816","1.98","2888","1.92","13277","53.5%","2119","53.7%","3631","58.6%","5750","56.8%","7471","50.6%","6.1pp"
"Sméagol, Helpful Guide","BG","R","7217","2.38","2531","2.44","10102","52.2%","1689","53.5%","2652","56.4%","4341","55.3%","5733","50.0%","5.3pp"
"Strider, Ranger of the North","RG","U","46987","5.24","6357","7.52","14795","52.5%","2361","54.3%","3578","54.9%","5939","54.6%","8819","51.1%","3.5pp"
"Théoden, King of Rohan","WR","U","36665","4.10","9028","4.79","37586","57.2%","6537","60.7%","8928","59.0%","15465","59.8%","21912","55.2%","4.5pp"
"Tom Bombadil","WUBRG","M","8006","4.60","1103","6.88","90","","11","","36","","47","","43","",""
"Uglúk of the White Hand","BR","U","39284","4.25","6761","5.76","27065","56.0%","4475","55.3%","6661","55.5%","11136","55.4%","15990","56.4%","-1.0pp"
"Andúril, Flame of the West","","M","1741","1.06","1715","1.06","11008","60.9%","1939","70.9%","2938","70.0%","4877","70.4%","6120","53.3%","17.0pp"
"Barrow-Blade","","U","56305","6.21","6157","9.44","8451","53.9%","1421","53.8%","2089","52.5%","3510","53.0%","4940","54.6%","-1.5pp"
"Ent-Draught Basin","","U","60462","7.11","5847","10.88","2359","49.5%","383","40.7%","575","50.4%","958","46.6%","1397","51.8%","-5.2pp"
"Glamdring","","M","3063","2.05","1076","2.10","4632","52.4%","757","46.0%","1336","56.6%","2093","52.7%","2524","52.0%","0.7pp"
"Horn of Gondor","","R","4071","1.29","3479","1.27","21416","60.6%","3944","68.3%","5546","68.4%","9490","68.4%","11922","54.5%","13.8pp"
"Horn of the Mark","","R","8141","2.74","1811","3.05","6327","51.5%","1052","46.9%","1532","51.2%","2584","49.5%","3738","52.9%","-3.5pp"
"Inherited Envelope","","C","159627","6.75","18085","10.10","28379","51.4%","4950","51.3%","7561","54.6%","12511","53.3%","15799","49.9%","3.4pp"
"Lembas","","C","159222","6.55","20077","9.64","38882","52.8%","7119","51.2%","13788","57.0%","20907","55.1%","20528","51.3%","3.7pp"
"Mirror of Galadriel","","U","56717","6.36","5805","9.86","5732","48.9%","933","44.8%","1514","50.9%","2447","48.5%","3270","49.1%","-0.5pp"
"Mithril Coat","","R","6982","2.26","1591","2.41","6331","48.7%","1002","44.3%","1608","47.5%","2610","46.2%","3702","50.5%","-4.2pp"
"The One Ring","","M","2238","1.47","1195","1.45","5791","54.6%","995","53.8%","1507","58.1%","2502","56.4%","3280","53.4%","3.0pp"
"Palantír of Orthanc","","M","2076","1.39","1613","1.37","9806","58.6%","1811","68.6%","2755","61.8%","4566","64.5%","5221","53.4%","11.1pp"
"Phial of Galadriel","","R","6935","2.20","2541","2.29","12702","54.4%","2350","56.9%","3344","56.3%","5694","56.5%","6970","52.8%","3.7pp"
"Shire Scarecrow","","C","170295","8.34","19208","11.93","12678","48.9%","2395","47.0%","3244","49.7%","5639","48.5%","7010","49.1%","-0.6pp"
"Sting, the Glinting Dagger","","R","8703","2.77","1478","3.21","4987","51.4%","855","49.0%","1238","51.2%","2093","50.3%","2884","52.0%","-1.7pp"
"Stone of Erech","","U","62901","7.78","6607","11.70","396","","52","","114","","166","","230","47.4%",""
"Wizard's Rockets","","C","167388","7.64","23928","10.74","32404","52.6%","5878","53.0%","8710","53.1%","14588","53.1%","17794","52.1%","0.9pp"
"Barad-dûr","","R","8204","2.48","2770","2.79","14577","56.8%","2645","56.6%","3752","56.6%","6397","56.6%","8158","56.9%","-0.3pp"
"Great Hall of the Citadel","","C","156743","6.60","22861","9.27","62870","53.3%","11015","54.5%","16279","55.3%","27294","55.0%","35494","51.9%","3.0pp"
"The Grey Havens","","U","57850","6.41","5816","9.99","7677","50.7%","1379","46.0%","1908","53.4%","3287","50.3%","4358","50.8%","-0.5pp"
"Minas Tirith","","R","9673","2.90","2474","3.45","11505","55.0%","1995","55.3%","2889","56.6%","4884","56.1%","6605","54.1%","2.0pp"
"Mines of Moria","","R","15634","4.30","2539","6.18","9190","55.0%","1691","56.4%","2276","54.9%","3967","55.5%","5210","54.6%","0.9pp"
"Mount Doom","","M","5353","3.22","1007","4.06","3056","56.8%","571","54.8%","771","58.8%","1342","57.1%","1706","56.6%","0.5pp"
"Rivendell","","R","11519","3.34","2575","4.18","11188","52.9%","2015","55.7%","3244","55.3%","5259","55.4%","5866","50.5%","4.9pp"
"The Shire","","R","11464","3.39","2153","4.26","8504","52.4%","1472","56.0%","2009","54.9%","3481","55.4%","5006","50.4%","5.0pp"
"Shire Terrace","","C","150128","5.69","21578","8.28","80024","52.9%","14680","52.4%","20489","53.6%","35169","53.1%","44731","52.8%","0.4pp"
